iter	MultiClass
0	2.259773029
1	2.2106845
2	2.177060556
3	2.151787835
4	2.125960656
5	2.104195047
6	2.084914033
7	2.070273784
8	2.056490181
9	2.046500612
10	2.033754571
11	2.025659199
12	2.016355738
13	2.004465077
14	1.991674363
15	1.981943918
16	1.970189561
17	1.962959488
18	1.957351117
19	1.945461906
20	1.937222467
21	1.929271809
22	1.922531627
23	1.915838055
24	1.905435502
25	1.90035976
26	1.895874665
27	1.889514434
28	1.883327322
29	1.879245167
30	1.87393067
31	1.867598567
32	1.861151495
33	1.857950701
34	1.852766523
35	1.848440196
36	1.844701139
37	1.8422543
38	1.839829509
39	1.836939846
40	1.834951358
41	1.831279472
42	1.827840769
43	1.823811201
44	1.820207992
45	1.817573729
46	1.81476683
47	1.813471317
48	1.809911912
49	1.807541104
50	1.804504753
51	1.799494495
52	1.79604502
53	1.790688748
54	1.786741031
55	1.784315177
56	1.783135519
57	1.781047938
58	1.77920253
59	1.777614035
60	1.776277597
61	1.775143366
62	1.771443749
63	1.768125237
64	1.766046907
65	1.765210221
66	1.761905706
67	1.759109631
68	1.757572282
69	1.754954304
70	1.752013184
71	1.749660974
72	1.747649113
73	1.747283542
74	1.746040034
75	1.743339225
76	1.741836967
77	1.739556684
78	1.73774596
79	1.737195334
80	1.736659659
81	1.735274388
82	1.733340866
83	1.731992526
84	1.730319882
85	1.728696087
86	1.727609069
87	1.726128385
88	1.724500429
89	1.723331295
90	1.721810064
91	1.720514733
92	1.719338834
93	1.719053921
94	1.718376185
95	1.717668646
96	1.716554056
97	1.7160647
98	1.714938028
99	1.714590806
100	1.713990545
101	1.712191111
102	1.711371155
103	1.710368976
104	1.710044071
105	1.709167893
106	1.708580402
107	1.707823299
108	1.707337838
109	1.705782635
110	1.705319592
111	1.704890843
112	1.703882443
113	1.702568868
114	1.702378522
115	1.702177329
116	1.701884584
117	1.698925707
118	1.697983935
119	1.696849883
120	1.696199719
121	1.695438553
122	1.694663439
123	1.693611547
124	1.692549249
125	1.692315238
126	1.691809401
127	1.690743993
128	1.690574828
129	1.690294755
130	1.690090136
131	1.689311491
132	1.688947594
133	1.687482021
134	1.686832625
135	1.685634338
136	1.685140567
137	1.684798784
138	1.683095842
139	1.682615207
140	1.68120102
141	1.679839606
142	1.679310873
143	1.678823556
144	1.677795845
145	1.677524028
146	1.677390973
147	1.674569621
148	1.673372134
149	1.673102358
150	1.670814982
151	1.669343354
152	1.6690071
153	1.668529008
154	1.667257547
155	1.666884355
156	1.666628883
157	1.666309424
158	1.665660608
159	1.665247919
160	1.664405781
161	1.663946584
162	1.663689352
163	1.661885081
164	1.6617194
165	1.660612457
166	1.660083919
167	1.659864025
168	1.659329479
169	1.658851208
170	1.658619079
171	1.658379057
172	1.657986341
173	1.657242258
174	1.656960067
175	1.656089152
176	1.655558733
177	1.655037097
178	1.654468194
179	1.654156624
180	1.654074942
181	1.653847391
182	1.653493839
183	1.653261548
184	1.652884004
185	1.652142394
186	1.651730946
187	1.651027701
188	1.650444187
189	1.649252632
190	1.649047127
191	1.64787051
192	1.647618877
193	1.647127458
194	1.646679503
195	1.646241248
196	1.645427959
197	1.644631199
198	1.64449628
199	1.64431675
200	1.644031407
201	1.643879072
202	1.643459977
203	1.642249824
204	1.642034951
205	1.641621543
206	1.641494221
207	1.640802402
208	1.640417506
209	1.640156944
210	1.640058884
211	1.639821865
212	1.639620762
213	1.639484548
214	1.63934909
215	1.639189852
216	1.639081223
217	1.638668881
218	1.638477598
219	1.638309958
220	1.638060046
221	1.637915816
222	1.637755056
223	1.637189791
224	1.635832996
225	1.635517485
226	1.635167793
227	1.634764836
228	1.634649173
229	1.634400652
230	1.634231363
231	1.633958366
232	1.633830787
233	1.633680408
234	1.633442307
235	1.633196537
236	1.633092491
237	1.632926547
238	1.632773454
239	1.632236792
240	1.632088021
241	1.631833623
242	1.630970167
243	1.6308552
244	1.630455046
245	1.630156665
246	1.630041806
247	1.629779505
248	1.629656404
249	1.629116391
250	1.628931574
251	1.628681108
252	1.628473522
253	1.628237111
254	1.627930999
255	1.627252278
256	1.627054339
257	1.626618012
258	1.626256816
259	1.626055063
260	1.625944306
261	1.62532726
262	1.625023942
263	1.62472805
264	1.624616234
265	1.624115012
266	1.623601079
267	1.623270428
268	1.622849992
269	1.622572832
270	1.622473195
271	1.62233065
272	1.622078187
273	1.621249473
274	1.620856282
275	1.620744313
276	1.620436976
277	1.619988617
278	1.61986923
279	1.619678206
280	1.619360914
281	1.619120842
282	1.618910133
283	1.618672655
284	1.618493209
285	1.617187382
286	1.617012547
