iter	Passed	Remaining
0	17	5049
1	32	4608
2	46	4408
3	60	4314
4	74	4219
5	90	4218
6	104	4181
7	120	4216
8	139	4318
9	155	4298
10	171	4299
11	188	4327
12	202	4269
13	219	4277
14	235	4273
15	249	4218
16	264	4205
17	284	4253
18	299	4221
19	317	4241
20	333	4220
21	350	4226
22	365	4196
23	381	4179
24	398	4172
25	413	4152
26	431	4151
27	446	4128
28	461	4105
29	475	4076
30	493	4077
31	517	4122
32	533	4109
33	548	4079
34	563	4056
35	578	4036
36	593	4007
37	608	3989
38	625	3975
39	640	3955
40	654	3927
41	669	3905
42	685	3891
43	703	3886
44	720	3875
45	735	3852
46	753	3845
47	767	3819
48	783	3804
49	799	3791
50	816	3780
51	833	3767
52	850	3754
53	869	3752
54	887	3742
55	905	3735
56	921	3718
57	937	3701
58	953	3683
59	969	3667
60	986	3654
61	1007	3657
62	1025	3645
63	1041	3630
64	1055	3606
65	1069	3579
66	1086	3568
67	1102	3551
68	1117	3529
69	1133	3512
70	1149	3497
71	1167	3486
72	1185	3474
73	1199	3452
74	1216	3437
75	1232	3421
76	1249	3408
77	1265	3392
78	1280	3371
79	1295	3352
80	1312	3337
81	1327	3318
82	1344	3303
83	1359	3285
84	1379	3277
85	1394	3259
86	1411	3245
87	1427	3226
88	1443	3210
89	1459	3194
90	1474	3176
91	1492	3164
92	1512	3154
93	1529	3140
94	1543	3119
95	1558	3100
96	1575	3085
97	1588	3063
98	1605	3048
99	1622	3033
100	1636	3014
101	1652	2996
102	1667	2979
103	1683	2962
104	1698	2943
105	1714	2926
106	1729	2909
107	1744	2891
108	1758	2872
109	1774	2854
110	1788	2836
111	1805	2820
112	1821	2804
113	1836	2786
114	1851	2768
115	1865	2750
116	1882	2735
117	1899	2719
118	1914	2702
119	1933	2690
120	1950	2675
121	1966	2660
122	1984	2645
123	1998	2627
124	2015	2612
125	2030	2594
126	2045	2576
127	2061	2560
128	2078	2545
129	2091	2525
130	2106	2509
131	2127	2498
132	2145	2483
133	2162	2469
134	2178	2452
135	2193	2435
136	2210	2419
137	2226	2403
138	2241	2386
139	2256	2369
140	2272	2353
141	2288	2337
142	2304	2320
143	2321	2305
144	2337	2289
145	2351	2271
146	2365	2253
147	2383	2238
148	2398	2221
149	2413	2204
150	2431	2189
151	2449	2175
152	2464	2158
153	2481	2143
154	2496	2126
155	2513	2110
156	2530	2095
157	2547	2080
158	2566	2066
159	2583	2050
160	2604	2038
161	2624	2024
162	2642	2010
163	2663	1997
164	2680	1981
165	2694	1964
166	2710	1947
167	2727	1932
168	2743	1915
169	2758	1898
170	2773	1881
171	2789	1864
172	2806	1849
173	2824	1834
174	2840	1818
175	2856	1801
176	2870	1783
177	2886	1767
178	2899	1749
179	2913	1732
180	2933	1718
181	2951	1702
182	2971	1688
183	2988	1673
184	3004	1656
185	3020	1640
186	3035	1623
187	3054	1608
188	3071	1592
189	3088	1576
190	3104	1560
191	3122	1544
192	3138	1528
193	3156	1512
194	3172	1496
195	3191	1481
196	3208	1465
197	3226	1450
198	3243	1434
199	3259	1417
200	3277	1402
201	3294	1386
202	3310	1369
203	3328	1354
204	3344	1337
205	3363	1322
206	3379	1305
207	3393	1288
208	3406	1271
209	3419	1253
210	3433	1236
211	3448	1219
212	3461	1202
213	3478	1186
214	3491	1169
215	3507	1152
216	3521	1135
217	3537	1119
218	3552	1103
219	3570	1087
220	3590	1072
221	3606	1055
222	3624	1040
223	3641	1024
224	3663	1009
225	3678	992
226	3706	979
227	3726	964
228	3742	947
229	3758	931
230	3775	915
231	3789	898
232	3804	881
233	3819	865
234	3834	848
235	3853	832
236	3871	816
237	3886	800
238	3899	783
239	3916	767
240	3930	750
241	3949	734
242	3967	718
243	3981	701
244	3998	685
245	4011	668
246	4025	651
247	4042	635
248	4055	618
249	4069	602
250	4082	585
251	4095	568
252	4109	552
253	4123	535
254	4140	519
255	4156	503
256	4171	486
257	4186	470
258	4201	454
259	4220	438
260	4234	421
261	4256	406
262	4275	390
263	4289	373
264	4303	357
265	4319	341
266	4334	324
267	4347	308
268	4362	291
269	4375	275
270	4390	259
271	4404	242
272	4419	226
273	4439	210
274	4462	194
275	4480	178
276	4502	162
277	4522	146
278	4538	130
279	4557	113
280	4575	97
281	4593	81
282	4609	65
283	4625	48
284	4641	32
285	4659	16
286	4675	0
